epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9252,1.01561,3.09296,3.41814,1.35711,0.04053,0.82971,0.19605,0.13538,0.03932,0.843,0.19338,0.14048,0.69996,1.77927,3.27005,1.13618,3.75e-05,3.75e-05,3.75e-05
1,281.825,1.06364,3.10541,3.48723,1.37645,0.04073,0.80072,0.13032,0.07486,0.03482,0.70169,0.12886,0.07998,0.79529,2.06621,3.40139,1.31146,1.25e-05,1.25e-05,1.25e-05
2,620.328,0.97295,2.72281,3.43265,1.29688,0.04222,0.8442,0.24222,0.1707,0.04103,0.85749,0.24719,0.17594,0.66188,1.71534,3.23733,1.08459,3.56437e-05,3.56437e-05,3.56437e-05
3,798.821,0.8038,2.05414,3.30222,1.1789,0.03654,0.89976,0.32391,0.27095,0.03952,0.92874,0.33039,0.26064,0.55735,1.47568,3.15796,0.94732,5.63125e-05,5.63125e-05,5.63125e-05
4,1154.91,0.69274,1.71316,3.20514,1.1062,0.03538,0.94324,0.39794,0.34274,0.03538,0.94324,0.39749,0.33327,0.5499,1.48151,3.10072,0.93186,7.45062e-05,7.45062e-05,7.45062e-05
5,1430.37,0.63426,1.63039,3.13173,1.04786,0.0334,0.95773,0.33416,0.26828,0.0334,0.95773,0.3235,0.2517,0.56956,1.50567,3.0842,0.93072,9.0225e-05,9.0225e-05,9.0225e-05
6,1499.3,0.62623,1.41908,3.04679,1.02569,0.03242,0.95773,0.35807,0.29461,0.03242,0.95773,0.35435,0.29477,0.56777,1.51498,3.0669,0.92064,0.000103469,0.000103469,0.000103469
7,1603.15,0.58986,1.41566,3.00981,1.01103,0.03221,0.95773,0.38804,0.32012,0.03221,0.95773,0.38061,0.31903,0.56297,1.46413,3.0587,0.91953,0.000114238,0.000114238,0.000114238
8,1758.38,0.54198,1.26296,2.94812,0.98092,0.03176,0.95773,0.51222,0.42693,0.03176,0.95773,0.49767,0.42735,0.56762,1.43085,3.06733,0.95924,0.000122531,0.000122531,0.000122531
9,1815.32,0.56735,1.29091,2.91539,1.00886,0.03078,0.94324,0.54998,0.46302,0.02981,0.92874,0.54684,0.45857,0.62606,1.47987,3.0947,1.05315,0.00012835,0.00012835,0.00012835
10,1867.63,0.5591,1.24409,2.8442,0.99488,0.02983,0.92874,0.59378,0.48807,0.02983,0.92874,0.59378,0.48661,0.63347,1.55918,3.08978,1.07197,0.000131694,0.000131694,0.000131694
11,1903.27,0.47586,1.05855,2.67306,0.94343,0.03241,0.94324,0.61884,0.49742,0.03133,0.92874,0.61591,0.49429,0.59678,1.58577,3.10437,1.07745,0.000132563,0.000132563,0.000132563
12,1932.53,0.43828,1.03607,2.61075,0.9312,0.0331,0.94324,0.61123,0.4824,0.03197,0.92874,0.6078,0.47322,0.62901,1.54116,3.11639,1.09483,0.000130956,0.000130956,0.000130956
13,1949.77,0.43822,0.95595,2.52075,0.92368,0.03273,0.94324,0.64971,0.55427,0.03273,0.94324,0.64971,0.53056,0.5952,1.52911,3.07165,1.03028,0.000126875,0.000126875,0.000126875
14,2009.19,0.41816,0.83669,2.45096,0.95604,0.03344,0.94324,0.67604,0.59359,0.03344,0.94324,0.67604,0.57186,0.5731,1.60075,3.0586,1.01851,0.000120319,0.000120319,0.000120319
15,2036.95,0.42646,0.85241,2.38206,0.91374,0.0341,0.94324,0.71532,0.6123,0.0341,0.94324,0.71092,0.59577,0.61938,1.53008,3.06163,1.05576,0.000111288,0.000111288,0.000111288
16,2077.54,0.43261,0.87526,2.29395,0.9068,0.03471,0.94324,0.74264,0.64462,0.03471,0.94324,0.74264,0.631,0.62614,1.44004,3.05289,1.05311,9.97813e-05,9.97813e-05,9.97813e-05
17,2089.38,0.44893,0.79415,2.2769,0.91728,0.03539,0.94324,0.75713,0.66702,0.03539,0.94324,0.75713,0.66341,0.6032,1.30492,3.04757,1.02515,8.58e-05,8.58e-05,8.58e-05
18,2105.93,0.41928,0.82263,2.21908,0.92545,0.03595,0.94324,0.79147,0.71095,0.03725,0.95773,0.79573,0.71226,0.61658,1.28558,3.02513,1.0192,6.93438e-05,6.93438e-05,6.93438e-05
19,2116.22,0.41595,0.81385,2.17558,0.93652,0.03882,0.95773,0.83727,0.73932,0.03882,0.95773,0.83727,0.74467,0.61541,1.25275,2.99768,1.00733,5.04125e-05,5.04125e-05,5.04125e-05
20,2142.73,0.42052,0.78713,2.15951,0.93897,0.03993,0.95773,0.84179,0.73796,0.03993,0.95773,0.84179,0.76868,0.60407,1.21556,2.98389,0.99209,2.90063e-05,2.90063e-05,2.90063e-05
